,film,revenue,release_date
2472,Directly Kakha,7758221,2020-11-12
2473,Downhill,7547254,2020-02-06
2474,Another Round,7287440,2020-09-24
2475,De Gaulle,7142214,2020-03-04
2476,Spycies,6928960,2020-01-11
2477,Antebellum,6852361,2020-09-02
2478,Lindenberg! Mach dein Ding,6404964,2020-01-16
2479,Hotel Belgrade,6237973,2020-03-05
2480,Beasts Clawing at Straws,5707415,2020-02-19
2481,Mama Weed,5413054,2020-09-09
2482,Poly,5236154,2020-06-10
2483,Divorce Club,5127426,2020-07-14
2484,The Kangaroo Chronicles,5081127,2020-03-05
2485,Made in Abyss: Dawn of the Deep Soul,4971635,2020-01-17
2486,Intruder,4751103,2020-06-04
2487,The SpongeBob Movie: Sponge on the Run,4700000,2020-08-14
2488,100% Wolf,4608579,2020-06-26
2489,My Spy,4418501,2020-01-09
2490,The Rental,4296804,2020-07-23
2491,The Empty Man,4176641,2020-10-22
2492,Varane Avashyamund,4139731,2020-02-07
2493,Persian Lessons,3825668,2020-04-17
2494,"Yakari, a Spectacular Journey",3790930,2020-08-12
2495,The Wretched,3758846,2020-03-09
2496,Lassie Come Home,3666620,2020-02-20
2497,Follow Me,3551439,2020-07-16
2498,Radioactive,3507755,2020-03-11
2499,18 Presents,3486375,2020-01-02
2500,The Battle at Lake Changjin,888577720,2021-09-30
2501,"Hi, Mom",822049668,2021-02-12
2502,No Time to Die,758000000,2021-09-29
2503,F9,721077945,2021-05-19
2504,Detective Chinatown 3,686257563,2021-02-12
2505,Zack Snyder's Justice League,657000000,2021-03-18
2506,Godzilla vs. Kong,467863133,2021-03-24
2507,Venom: Let There Be Carnage,454000000,2021-09-30
2508,Shang-Chi and the Legend of the Ten Rings,430238384,2021-09-01
2509,Black Widow,378328978,2021-07-07
2510,Dune,368077000,2021-09-15
2511,Eternals,368000000,2021-11-03
2512,Free Guy,331096766,2021-08-11
2513,A Quiet Place Part II,297372261,2021-05-21
2514,Cruella,233274812,2021-05-26
2515,Jungle Cruise,217000000,2021-07-28
2516,Raging Fire,205000000,2021-08-13
2517,The Conjuring: The Devil Made Me Do It,199166992,2021-05-25
2518,Cliff Walkers,172919448,2021-04-30
2519,The Suicide Squad,167381210,2021-07-28
2520,Peter Rabbit 2: The Runaway,153000000,2021-03-25
2521,A Writer's Odyssey,150000000,2021-02-12
2522,Space Jam: A New Legacy,148810604,2021-07-08
2523,PAW Patrol: The Movie,135000000,2021-08-09
2524,Tom & Jerry,132000000,2021-02-11
2525,Raya and the Last Dragon,130000000,2021-03-03
2526,The Boss Baby: Family Business,128000000,2021-07-01
2527,Halloween Kills,127000000,2021-10-14
2528,Ghostbusters: Afterlife,118000000,2021-11-11
2529,The Addams Family 2,105000000,2021-10-01
2530,Wrath of Man,103966489,2021-04-22
2531,The Obscure Moon Lighting an Obscure World,100000000,2021-09-19
2532,Old,90112510,2021-07-21
2533,Green Snake,87212911,2021-07-23
2534,Mortal Kombat,83601013,2021-04-07
2535,Evangelion: 3.0+1.0 Thrice Upon a Time,78334943,2021-03-08
2536,Candyman,77389310,2021-08-25
2537,The Forever Purge,76981630,2021-06-30
2538,Encanto,73000000,2021-11-24
2539,Hitman's Wife's Bodyguard,69212098,2021-06-14
2540,Be Somebody,64300000,2021-11-11
2541,Nobody,61779301,2021-03-18
2542,Cloudy Mountain,58232750,2021-09-11
2543,Ron's Gone Wrong,57000000,2021-10-15
2544,BELLE,54195448,2021-07-16
2545,Luca,49010641,2021-06-17
2546,Don't Breathe 2,45000000,2021-08-12
2547,Escape Room: Tournament of Champions,44888959,2021-07-01
2548,In the Heights,43000000,2021-06-10
2549,Clifford the Big Red Dog,40000000,2021-11-10
2550,My Hero Academia: World Heroes' Mission,38410729,2021-08-06
2551,House of Gucci,38000000,2021-11-24
2552,Snake Eyes: G.I. Joe Origins,36964325,2021-07-22
2553,Spiral: From the Book of Saw,36544468,2021-05-12
2554,Rurouni Kenshin: The Final,33457923,2021-04-23
2555,The French Dispatch,33000000,2021-10-21
2556,Respect,31217372,2021-08-12
2557,Love Will Tear Us Apart,30863720,2021-05-20
2558,The Unholy,30763855,2021-03-31
2559,The Little Things,29844012,2021-01-28
2560,The Last Warrior: Root of Evil,27658331,2021-01-01
2561,The Last Duel,27000000,2021-10-13
2562,Wish Dragon,25860000,2021-01-15
2563,The Courier,24901420,2021-03-18
2564,Malignant,24640084,2021-09-01
2565,Those Who Wish Me Dead,23384502,2021-05-05
2566,The Marksman,22039969,2021-01-15
2567,The Father,21029340,2021-02-26
2568,Kaamelott - The First Chapter,19002036,2021-07-21
2569,After We Fell,19000000,2021-09-01
2570,Last Night in Soho,19000000,2021-10-21
2571,Reminiscence,18717947,2021-08-19
2572,The Green Knight,18192220,2021-07-29
2573,Spirit Untamed,17635215,2021-05-20
2574,The Dry,17166067,2021-01-01
2575,"Dad, I'm Sorry",17130489,2021-03-12
2576,Antlers,16000000,2021-10-28
2577,Stillwater,15987232,2021-07-29
2578,Dear Evan Hansen,15732069,2021-09-24
2579,Gintama: The Final,15486691,2021-01-08
2580,Resident Evil: Welcome to Raccoon City,15250432,2021-11-24
2581,Nomadland,14784114,2021-01-29
2582,The Night House,14590542,2021-07-15
2583,Minari,12886100,2021-02-12
2584,Cry Macho,11780000,2021-09-16
2585,The Many Saints of Newark,11620603,2021-09-22
2586,King Richard,11000000,2021-11-18
2587,Agent Backkom: Kings Bear,8500000,2021-07-23
2588,The Protégé,8115215,2021-08-19
2589,Ainbo: Spirit of the Amazon,7877742,2021-02-09
2590,Honsla Rakh,7100000,2021-10-15
2591,Dream Horse,6435260,2021-05-21
2592,Judas and the Black Messiah,6416063,2021-02-12
2593,The Laws of the Universe - The Age of Elohim,5928973,2021-10-22
2594,Copshop,5400000,2021-09-09
2595,Chernobyl: Abyss,5370393,2021-04-15
2596,Titane,5115725,2021-07-14
2597,Family Swap,4849622,2021-06-30
2598,Qismat 2,4700000,2021-09-23
2599,Major Grom: Plague Doctor,4493306,2021-04-01
